Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дашенко,Лілія,Миколаївна,Жінка,2007-08-03,Електромонтер,селище Олександрівськ,"провулок Проїзний 2-й, буд. 55, Золоте, 34205",+380 08 875-03-35,bazavluchenkolevko@example.org
Артюшенко,Альбіна,Сергіївна,Жінка,1987-01-16,Громадський діяч,хутір Луцьк,"провулок Олексія Косяченко, буд. 03 кв. 1, Збараж, 25618",021 050-36-36,ivanychukalbert@example.com
Василенко,Орина,Федорівна,Жінка,1968-02-07,Гірничий інженер,село Золотоноша,"площа Академіка Ясиновського, буд. 4, Бучач, 44385",+380 62 840-03-04,parmen34@example.net
Вертипорох,Юстим,Максимович,Чоловік,1957-08-14,Швачка,місто Деражня,"вулиця Колонічна, буд. 92 кв. 68, Благовіщенське, 31646",+380 60 355 03 48,okseniiaieromenko@example.org
Коваленко,Святослав,Олегович,Чоловік,1999-06-26,Хореограф,село Городня,"вулиця Лінія 37-ма, буд. 37 кв. 7, Гірське, 53561",534 17 06,andriievychvira@example.com
Козак,Розалія,Максимівна,Жінка,2005-12-20,Візажист,хутір Дніпро,"сквер Скліфосовського, буд. 97, Деражня, 85698",+380 20 304 33 76,orysia55@example.org
Оробець,Тереза,Федорівна,Жінка,1964-07-11,Швачка,селище Хмельницький,"площа Одеської громади, буд. 3 кв. 793, Старий Самбір, 76649",061 282-65-24,lesykiukhym@example.com
Байда,Альбіна,Романівна,Жінка,1995-01-30,Каскадер,місто Красилів,"парк Данила Крижанівського, буд. 75 кв. 6, Петрово-Красносілля, 05552",+380 (70) 959-98-82,maksymovsiienko@example.net
Притула,Алла,Олександрівна,Жінка,1978-08-17,Єгер,селище Гайворон,"площа Балтський 3-й, буд. 487 кв. 29, Балаклія, 91184",+380 20 511 17 17,hlibtsymbal@example.net
Рудько,Олександр,Богданович,Чоловік,1990-06-12,Флорист,село Кам'янка-Бузька,"сквер Парашутний, буд. 226, Золочів, 28169",+380 95 416-47-58,svitlanavermenych@example.org
Джус,Альбіна,Володимирівна,Жінка,1941-06-29,Золотар,селище Жовті Води,"сквер Олени Теліги, буд. 7 кв. 696, Вашківці, 59972",047 904 08 15,lesderevianko@example.net
Ковпак,Богданна,Ігорівна,Жінка,1984-02-17,Маркетолог,місто Славута,"набережна Ф. Пішеніна, буд. 609 кв. 1, Андрушівка, 57674",+380 (84) 397-63-86,solomonkalchenko@example.org
Худяк,Веніямин,Федорович,Чоловік,1957-08-19,Кіноактор,селище Новий Буг,"узвіз Рекордний, буд. 1 кв. 458, Дунаївці, 77993",+380 41 814 61 89,viacheslav92@example.org
Таран,Василь,Павлович,Чоловік,1978-11-26,Біолог,місто Надвірна,"вулиця Пересипський 1-й, буд. 81, Хирів, 42242",+380 93 993-29-43,pelekhprokhir@example.com
Товстоліс,Омелян,Миколайович,Чоловік,2003-12-09,Футболіст,хутір Хирів,"шосе Марсельська, буд. 4, Христинівка, 27358",055 429-31-78,khorishkonataliia@example.com
Рудько,Марія,Юріївна,Жінка,1988-06-15,Професор,місто Запоріжжя,"провулок Східний 1-й, буд. 1, Соснівка, 31808",125 99 49,lesvobla@example.org
Теліженко,Пантелеймон,Іванович,Чоловік,1996-03-29,Детектив,місто Бурштин,"вулиця Квітковий, буд. 10, Сокаль, 81507",094 839 63 70,kanivetsserhii@example.com
Бандурка,Геннадій,Дмитрович,Чоловік,1981-08-07,Бізнесмен,селище Мостиська,"шосе Килимовий, буд. 52 кв. 9, Харків, 69167",+380 89 495 32 92,alevtyniukhymenko@example.org
Хорішко,Любов,Сергіївна,Жінка,1996-02-29,Громадський діяч,селище Любомль,"шосе Індійська, буд. 3, Гола Пристань, 68717",+380 35 961-74-98,valeriiieremenko@example.com
Бабійчук,Аркадій,Олександрович,Чоловік,1963-09-16,Паралегал,хутір Теребовля,"шосе Сьома, буд. 5, Жашків, 50724",091-61-87,stychyna@example.net
Короленко,Артем,Іванович,Чоловік,1982-04-04,Пілот,хутір Зіньків,"проспект Краснослобідська, буд. 498 кв. 915, Павлоград, 84732",+380 03 651-67-08,lavrenkoielysaveta@example.com
Канівець,Миколай,Сергійович,Чоловік,1987-01-13,Геофізик,місто Южне,"парк Ігоря Ветрогонова, буд. 9 кв. 54, Хотин, 31875",+380 (95) 867-62-89,vasylenkokostiantyn@example.net
Ісаєвич,Клавдія,Юріївна,Жінка,1956-08-09,Державний службовець,село Черкаси,"провулок Молокова, буд. 06 кв. 63, Чистякове, 74700",021 563 89 05,tiatseniuk@example.org
Штокало,Богуслав,Тимофійович,Чоловік,2000-06-09,Кушнір,село Слов'янськ,"сквер Десантний, буд. 60 кв. 2, Чоп, 46204",+380 (75) 515-00-75,ivanenkopanas@example.com
Чалий,Вадим,Григорович,Чоловік,1962-10-07,Професор,село Одеса,"вулиця Деревообробний 1-й, буд. 02 кв. 18, Бахмач, 18101",049 240 87 38,sabramenko@example.net
Вертипорох,Вʼячеслав,Ігорович,Чоловік,1947-05-12,Прокурор,село Верхньодніпровськ,"парк Кінна, буд. 3 кв. 151, Барвінкове, 77379",+380 00 095-62-50,milenaumanets@example.com
Твердохліб,Давид,Ігорович,Чоловік,1995-08-13,Ювелір,хутір Южне,"сквер Велика Садова, буд. 33 кв. 77, Звенигородка, 66934",+380 86 995-67-66,liliia29@example.com
Євдокименко,Данна,Максимівна,Жінка,1986-12-05,Паблік рилейшнз,хутір Новоукраїнка,"набережна Миколи Пильчикова, буд. 4, Амвросіївка, 46397",+380 29 938 37 47,hzatula@example.com
Єфименко,Григорій,Юрійович,Чоловік,1957-04-10,Хореограф,місто Хмільник,"парк Лузанівський 2-й, буд. 670, Жашків, 25606",848 70 49,semenzakusylo@example.com
Чаленко,Олена,Георгіївна,Жінка,2005-07-03,Державний службовець,хутір Жовква,"узвіз Кафедральна, буд. 463 кв. 905, Середина-Буда, 47585",+380 06 574-23-40,nosachenkoboryslav@example.org
Цісик,Адам,Григорович,Чоловік,1955-05-01,Слідчий,хутір Семенівка,"набережна Велика Садова, буд. 8 кв. 3, Березне, 78470",+380 (22) 326-02-68,shvachkademyd@example.net
Жайворон,Роман,Юрійович,Чоловік,1979-10-14,Шериф,хутір Знам'янка,"сквер Лазурського, буд. 74 кв. 26, Хрустальний, 91224",+380 52 525 38 46,svlokh@example.org
Єсипенко,Віра,Петрівна,Жінка,1981-01-14,Няня,місто Глобине,"провулок Восьмого березня 6-й, буд. 477, Скалат, 91081",358 46 36,vivanchenko@example.net
Джус,Христина,Богданівна,Жінка,1987-04-28,Бібліограф,село Павлоград,"проспект Фруктова, буд. 282 кв. 62, Ірміно, 38401",+380 94 226-01-66,karaskyrylo@example.net
Жук,Володимира,Миколаївна,Жінка,2000-02-27,Стропальник,місто Кремінна,"набережна Ланжеронівський узвіз, буд. 9 кв. 4, Верхньодніпровськ, 33382",+380 78 298 75 38,fadamenko@example.net
Джунь,Йосип,Романович,Чоловік,1985-10-13,Модель,селище Макіївка,"проспект Давида Ойстраха, буд. 24 кв. 76, Яворів, 87673",+380 69 664 19 01,leon36@example.org
Вітер,Стефан,Миколайович,Чоловік,1961-03-18,Паралегал,село Золочів,"парк Виноградна 1-ша, буд. 1, Дунаївці, 09669",+380 (60) 765-24-19,liliia50@example.net
Ніколюк,Петро,Максимович,Чоловік,2002-03-21,Менеджер,селище Турка,"парк Ватманський, буд. 2 кв. 529, Дунаївці, 41735",+380 65 541 05 82,vadym75@example.org
Саєнко,Теодор,Андрійович,Чоловік,2003-11-28,Конструктор,село Вашківці,"площа Картамишевська, буд. 16, Красноперекопськ, 70916",027 259-98-44,avrelii03@example.com
Вергун,Варфоломій,Дмитрович,Чоловік,2007-06-29,Редактор,хутір Рудки,"сквер Зелена гірка, буд. 94, Луганськ, 07595",+380 73 259 85 68,xkorbut@example.org
Єресько,Клавдія,Миколаївна,Жінка,1953-06-18,Клавішник,селище Новодружеськ,"площа Кавказька, буд. 900 кв. 9, Чорноморськ, 47888",+380 79 425-02-61,pbezborodko@example.org
Пилипенко,Єва,Ігорівна,Жінка,1998-02-26,Редактор,селище Чугуїв,"парк Краснослобідська, буд. 326, Верхньодніпровськ, 66580",+380 94 784-00-90,nazar23@example.org
Журба,Феофан,Петрович,Чоловік,1975-10-14,Модель,село Приморськ,"вулиця Ждахи, буд. 0 кв. 16, Глиняни, 89021",926-34-79,wandriienko@example.com
Батіг,Юхим,Андрійович,Чоловік,1969-09-18,М'ясник,місто Вараш,"провулок 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 863 кв. 4, Рубіжне, 81202",+380 48 663-33-52,andriievychiustym@example.net
Юхименко,Миколай,Григорович,Чоловік,2004-10-22,Шериф,селище Біляївка,"проспект Майстерний, буд. 5, Хуст, 33404",405-43-63,ostap28@example.com
Непорожній,Охрім,Андрійович,Чоловік,1991-07-06,Фармацевт,місто Іллінці,"провулок Наклонна, буд. 5, Добромиль, 76199",+380 31 082-58-85,zonyshchenko@example.org
Алексійчук,Остап,Васильович,Чоловік,1966-09-24,Стоматолог,село Ірпінь,"площа Українських Героїв, буд. 68, Українськ, 46929",231 13 34,batihiustym@example.net
Іваничук,Нестор,Григорович,Чоловік,1950-01-10,Гицель,місто Павлоград,"площа 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 648, Новоукраїнка, 82298",583-96-47,klymentderehus@example.com
Базилевська,Дарина,Тимофіївна,Жінка,1947-10-20,Підприємець,хутір Здолбунів,"вулиця Маланова, буд. 7, Ананьїв, 64963",+380 82 574 66 93,snizhanachaika@example.com
Носенко,Ірена,Володимирівна,Жінка,1961-10-02,Піаніст,село Бровари,"проспект Ніщинського Композитора, буд. 41, Вугледар, 79172",090-65-27,lemeshkostanislav@example.com
Верхола,Тереза,Максимівна,Жінка,1977-07-23,Фермер,місто Рава-Руська,"парк Балтиморська, буд. 410 кв. 944, Золочів, 81344",281-85-91,zynoviidemianenko@example.net
Франчук,Єлисавета,Федорівна,Жінка,1972-02-27,Флорист,хутір Остер,"площа Хімічний 1-й, буд. 078, Скалат, 61964",+380 76 254-51-47,dzasiadko@example.net
Фесенко,Данило,Федорович,Чоловік,2001-02-23,Режисер,хутір Рахів,"провулок Заводська 1-ша, буд. 0 кв. 3, Борзна, 30717",+380 05 213-18-24,iakovenkoklyment@example.com
Ткаченко,Аркадій,Максимович,Чоловік,1954-12-20,Випробувач,хутір Тернівка,"проспект Хаджибейський, буд. 30, Жовква, 37167",+380 28 636 13 08,zakhardashkevych@example.com
Шахрай,Клавдія,Павлівна,Жінка,1986-08-05,Візажист,хутір Кипуче,"шосе Удільний, буд. 05, Жовква, 07374",+380 27 527-79-97,leonid02@example.org
Щербак,Маруся,Павлівна,Жінка,1967-12-13,Кінокритик,селище Кропивницький,"провулок Перша, буд. 225 кв. 821, Торецьк, 59148",069 968 12 80,tetiana02@example.com
Приймак,Сніжана,Григорівна,Жінка,1992-06-12,Ботанік,місто Зіньків,"провулок Стовпова, буд. 6, П'ятихатки, 90637",+380 (80) 274-49-66,adaoliinyk@example.com
Овсієнко,Пантелеймон,Максимович,Чоловік,1943-02-19,Дизайнер,хутір Берислав,"набережна Левадна, буд. 2, Довжанськ, 35924",+380 01 474-09-44,banderaihnat@example.com
Конопля,Лариса,Олегівна,Жінка,2005-05-03,Візажист,хутір Алушта,"парк Лінія 51-ша, буд. 80 кв. 9, Нова Каховка, 72862",+380 16 442 13 08,uadamenko@example.net
Батюк,Веніямин,Олегович,Чоловік,1973-08-19,Петрограф,село Галич,"шосе Болгарська, буд. 92, Скадовськ, 52099",886 34 76,etverdokhlib@example.net
Тригуб,Марина,Максимівна,Жінка,2005-03-21,Психолог,селище Шептицький,"проспект Машинобудівний, буд. 89 кв. 265, Калуш, 59619",744 00 74,oles59@example.com
Прокопович,Вікторія,Павлівна,Жінка,1997-03-30,Продюсер,хутір Остер,"вулиця Гонсіоровського, буд. 68, Гадяч, 99313",090-90-09,iarynashutko@example.org
Василашко,Леопольд,Федорович,Чоловік,1982-09-25,Гірник,хутір Березань,"площа Лодочний, буд. 5 кв. 1, Куп'янськ, 81273",+380 23 334-40-17,vasyl51@example.org
Самойленко,Софія,Петрівна,Жінка,1952-04-09,Стиліст,селище Бахчисарай,"шосе Василя Кандинського, буд. 7, Хотин, 86784",039 721-69-94,rudykandrii@example.net
Палій,Августин,Володимирович,Чоловік,1987-09-02,Штукатур,селище Перевальськ,"площа Географічний, буд. 972 кв. 451, Горішні Плавні, 13717",055 845-58-30,iryna64@example.com
Єрошенко,Роксолана,Василівна,Жінка,2003-12-11,Дантист,село Острог,"набережна Щіпний, буд. 993, Бершадь, 45823",920-69-28,danylo78@example.org
Жук,Марта,Василівна,Жінка,1957-03-30,Астроном,селище Прип'ять,"набережна Розкидайлівська, буд. 27, Люботин, 22507",081 616-13-32,vshchors@example.com
Гупало,Роман,Георгійович,Чоловік,1989-07-06,Стоматолог,селище Моршин,"вулиця Проектований 4-й, буд. 44 кв. 1, Путивль, 08649",+380 34 198 68 50,msheremeta@example.org
Єрошенко,Юстина,Володимирівна,Жінка,1966-01-03,Художник,село Кілія,"набережна Василя Капніста, буд. 395, Лубни, 16582",+380 60 470 53 97,alinadzhus@example.net
Шухевич,Оксана,Іванівна,Жінка,1996-07-13,Будник,село Нове Давидково,"парк Тепла, буд. 710 кв. 9, Алчевськ, 52328",767-83-51,ydakhno@example.net
Голик,Онисим,Романович,Чоловік,1951-05-29,Хореограф,село Переяслав,"парк Лінія 29-та, буд. 827, Федорівка, 30812",+380 85 863-47-02,stepanhaidamaka@example.com
Філіпенко,Владислав,Григорович,Чоловік,1951-02-09,Кухар,хутір Ічня,"шосе Молодіжна, буд. 82 кв. 1, Ізюм, 20378",741-78-59,nesterenkoanita@example.com
Адаменко,Алла,Романівна,Жінка,1974-03-07,Музичний редактор,село Острог,"площа Аеропортівський 1-й, буд. 75, Берегове, 90941",+380 31 366 84 09,iurchenkoiustym@example.net
Туркало,Владислав,Богданович,Чоловік,1994-09-01,Патологоанатом,хутір Славутич,"сквер Лазурний 6-й, буд. 81 кв. 77, Моспине, 56242",009 850-31-46,petroabramchuk@example.net
Шаповал,Аарон,Максимович,Чоловік,1989-02-07,Дантист,селище Почаїв,"провулок Байкал тупик, буд. 945 кв. 0, Ясинувата, 60675",+380 13 150 85 93,bnosenko@example.com
Шевченко,Сніжана,Федорівна,Жінка,1987-05-01,Історик,хутір Зборів,"шосе Мацієвської узвіз, буд. 56, Погребище, 61552",262 11 53,roman40@example.org
Шаблій,Ігнат,Сергійович,Чоловік,2003-03-30,Прокурор,селище Калуш,"вулиця Наявний 7-й, буд. 43 кв. 59, Городня, 29815",+380 23 904-51-44,pmiroshnychenko@example.net
Артеменко,Опанас,Миколайович,Чоловік,1967-08-17,Конструктор,хутір Полтава,"набережна Докова, буд. 890 кв. 085, Тернопіль, 05561",097 837-13-56,viacheslav26@example.net
Кабаненко,Альбіна,Володимирівна,Жінка,1972-09-13,Футболіст,місто П'ятихатки,"парк Вільгельма Габсбурга, буд. 55 кв. 22, Знам'янка, 70401",+380 10 173-84-67,idashkevych@example.com
Іванченко,Кирило,Богданович,Чоловік,1984-08-05,Складальник,селище Вишневе,"проспект Лінія 40-ва, буд. 61 кв. 016, Лозова, 77366",+380 33 033 41 70,imykhailiuk@example.com
Величко,Василь,Сергійович,Чоловік,1944-01-12,Електромонтер,селище Енергодар,"узвіз Хаджибейська дорога, буд. 8 кв. 93, Кагарлик, 92663",078 436-40-71,knazarenko@example.com
Забара,Михайлина,Григорівна,Жінка,2006-11-15,Стиліст,село Луганськ,"узвіз Пересипська 9-та, буд. 1, Горішні Плавні, 50365",+380 (90) 915-44-13,ada90@example.com
Романенко,Петро,Георгійович,Чоловік,1970-08-27,Педагог,село Долина,"узвіз Офіцерський 2-й, буд. 218 кв. 2, Нововолинськ, 65974",+380 62 627 93 48,pvernyhora@example.org
Оробець,Галина,Сергіївна,Жінка,1974-02-16,Бібліограф,село Дружківка,"проспект Вознесенський, буд. 069 кв. 59, Щастя, 71831",+380 24 571-61-24,kchornovil@example.com
Батуринець,Демʼян,Васильович,Чоловік,1998-02-22,Біолог,хутір Торецьк,"шосе Самодіяльна, буд. 563 кв. 79, Антрацит, 30432",333-97-75,onysymiarosh@example.org
Палій,Симон,Максимович,Чоловік,1992-07-30,Графік,місто Верхньодніпровськ,"проспект Лінія 22-га, буд. 831, Ясинувата, 76531",774 50 94,myroslavchernenko@example.org
Вітер,Світлана,Миколаївна,Жінка,1996-06-06,Мікробіолог,місто Тетіїв,"набережна Севастопольський, буд. 2, Дубляни, 12567",044 732 77 50,leopold35@example.com
Ґерус,Володимира,Сергіївна,Жінка,2006-07-06,Каскадер,селище Гола Пристань,"узвіз Опішнянський, буд. 002, Ірпінь, 67416",+380 01 620 75 77,dhaidabura@example.org
Башполченко,Дан,Федорович,Чоловік,1963-03-05,Акушер,місто Ромни,"провулок Амбулаторний 1-й, буд. 526 кв. 82, Ромни, 41841",059 182 06 44,rsheremet@example.com
Ніколюк,Василина,Георгіївна,Жінка,1989-05-10,Дерун,село Ізяслав,"проспект Курортний, буд. 5 кв. 41, Помічна, 60064",+380 71 746-21-30,franchukliza@example.net
Слюсар,Антон,Дмитрович,Чоловік,1970-04-11,Психолог,місто Калуш,"набережна Авангардна, буд. 1 кв. 919, Городок, 50571",+380 95 337 27 21,vadymatamaniuk@example.org
Артимишин,Франц,Тимофійович,Чоловік,1964-04-04,Провізор,селище Хуст,"провулок Студентський 5-й, буд. 870 кв. 1, Переяслав, 48196",+380 (70) 702-51-47,omelian28@example.org
Безбородько,Златослава,Георгіївна,Жінка,1947-11-25,Живописець,село Лутугине,"провулок Софії Перовської, буд. 77 кв. 0, Чигирин, 38213",923-77-91,batihmaryna@example.org
Слюсар,Наталія,Олегівна,Жінка,1992-03-23,Парфюмер,місто Козятин,"вулиця Нова, буд. 339 кв. 5, Шептицький, 79730",028 668 36 56,hordiiiakymchuk@example.com
Алексійчук,Марко,Олегович,Чоловік,2004-10-25,Сценарист,село Фастів,"провулок Лиманчик 2-й Лінія 4-та, буд. 9, Луцьк, 11220",+380 16 879-05-98,ostap18@example.org
Онищенко,Марія,Богданівна,Жінка,1988-12-16,Маркетолог,село Любомль,"парк Андрія Гулого-Гуленка, буд. 740, Винники, 61591",+380 (94) 068-02-52,danylousyk@example.org
Комар,Азар,Васильович,Чоловік,1975-07-23,Няня,село Городок,"набережна Політкаторжан, буд. 2 кв. 1, Новгород-Сіверський, 47937",+380 (61) 147-18-59,olehvertyporokh@example.net
Петлюра,Демид,Максимович,Чоловік,1971-04-06,Реставратор,село Вуглегірськ,"сквер Соляний 3-й, буд. 987, Миргород, 76522",091 969 63 75,qartiushenko@example.com
Ярема,Михайлина,Петрівна,Жінка,1996-03-11,Архітектор,хутір Мена,"провулок 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 978 кв. 120, Алмазна, 14649",045 745-99-76,xshchyrytsia@example.org
Забара,Ілля,Олегович,Чоловік,1994-01-19,Лікар,хутір Ужгород,"проспект Партизанської слави, буд. 9, Жидачів, 16460",650 30 16,oberemkoaaron@example.com
Опанасенко,Едуард,Богданович,Чоловік,1994-11-20,Музикант,село Куп'янськ,"проспект Василя Стуса, буд. 42, Білицьке, 66419",024 735-70-42,leopoldlysenko@example.com
Твердохліб,Пріска,Миколаївна,Жінка,1959-05-26,Мікробіолог,селище Красилів,"провулок Пілотна, буд. 610 кв. 43, Чернігів, 78852",+380 (38) 969-15-91,solomiia59@example.com
Євтушок,Ада,Юріївна,Жінка,1956-02-06,Архітектор,селище Мар'їнка,"узвіз Фонтанська дорога, буд. 80, Зіньків, 70825",+380 13 297-71-68,hennadii28@example.org
Бандурка,Теодор,Миколайович,Чоловік,1961-10-27,Фермер,селище Павлоград,"шосе Болгарська, буд. 2, Соснівка, 11530",+380 (25) 704-34-38,jbazylevych@example.com
Гаврилець,Богданна,Богданівна,Жінка,2000-10-01,Швачка,місто Ізюм,"шосе Восьмого березня 2-й, буд. 793, Мар'їнка, 25385",665-10-50,oleksapylypenko@example.com
Адамчук,Макар,Ігорович,Чоловік,1980-10-27,Кінолог,селище Борщів,"узвіз Тещин міст, буд. 3, Берегове, 77473",872-61-83,orysiaabramenko@example.net
Кабаненко,Варвара,Богданівна,Жінка,1941-09-10,Програміст,селище Суходільськ,"вулиця Західний 3-й, буд. 27 кв. 56, Дніпро, 51912",786 35 56,myronhaidai@example.org
Товстуха,Теодор,Петрович,Чоловік,1972-01-08,Ґрунтознавець,хутір Щастя,"проспект Географічний, буд. 9, Боярка, 27687",+380 (87) 192-65-85,ihor85@example.net
Шинкаренко,Ганна,Петрівна,Жінка,1999-05-14,Гірник,селище Покров,"сквер Сергія Уточкіна, буд. 801, Тернопіль, 85817",133-18-12,bandurkavalentyn@example.com
Петлюра,Венедикт,Іванович,Чоловік,2002-06-28,Лікар,село Бурштин,"шосе Хортицька, буд. 218 кв. 24, Ічня, 30320",021 872-31-79,svovk@example.com
Проценко,Надія,Андріївна,Жінка,1973-10-02,Ді-джей,село Луганськ,"набережна Бейтельсбахера, буд. 4 кв. 3, Заставна, 87852",142 42 31,arkadii57@example.net
Цушко,Ростислав,Тимофійович,Чоловік,1982-10-05,Хімік,селище Кам'янка-Бузька,"проспект Балтський 8-й, буд. 448, Бережани, 84795",+380 47 152 31 97,skalenychenko@example.com
Шило,Пилип,Миколайович,Чоловік,1988-08-07,Менеджер,хутір Ізмаїл,"проспект Моторна, буд. 0, Новоазовськ, 32413",+380 (01) 302-92-94,sofiiamykytiuk@example.com
Гузь,Георгій,Володимирович,Чоловік,1953-03-21,Петрограф,місто Івано-Франківськ,"парк Кортацці, буд. 991 кв. 640, Бахмут, 20670",+380 95 391-75-80,iukhym25@example.net
Опанасенко,Максим,Юрійович,Чоловік,1972-10-15,Астронавт,селище Ялта,"вулиця Ф. Пішеніна, буд. 453 кв. 99, Сокиряни, 28127",+380 (93) 830-48-11,andrii85@example.org
Зубко,Миколай,Миколайович,Чоловік,1955-07-08,Випробувач,село Славутич,"парк Нафтовиків, буд. 786, Заводське, 42999",+380 44 186-33-34,ustym80@example.net
Якименко,Маруся,Дмитрівна,Жінка,2003-01-23,Конструктор,селище Чортків,"провулок Танкістів, буд. 0 кв. 159, Ананьїв, 65172",611-41-46,pylypenkoborys@example.net
Василечко,Роман,Федорович,Чоловік,1942-07-19,Перекладач,хутір Винники,"парк Садовий, буд. 8, Кодима, 98803",560 23 40,avreliibandera@example.org
Демʼяненко,Богдан,Петрович,Чоловік,2003-05-09,Кухар,село Дунаївці,"парк Балтський 7-й, буд. 665, Новоазовськ, 95612",+380 23 694-53-50,mykhailosahal@example.org
Саєнко,Борис,Миколайович,Чоловік,1988-06-03,Економіст,хутір Курахове,"шосе Капітана Гаврікова, буд. 770, Путивль, 30581",+380 (49) 731-18-10,heorhii23@example.com
Полтавець,Прохір,Максимович,Чоловік,1980-06-13,Пекар,село Лебедин,"сквер Планетна, буд. 5, Ялта, 27071",766 40 01,ozaporozhets@example.org
Іваненко,Ірена,Володимирівна,Жінка,1974-09-08,Будник,місто Сквира,"площа Мелітопольська, буд. 9, Шахтарськ, 64325",+380 (49) 724-68-59,kovaliukanzhela@example.org
Франчук,Варфоломій,Миколайович,Чоловік,1945-07-04,Вчитель,селище Красноперекопськ,"вулиця Запорізька, буд. 077 кв. 1, Заставна, 93569",057 861 88 54,cherinkobohdanna@example.org
Андрієвич,Ганна,Іванівна,Жінка,1975-04-22,Стоматолог,хутір Красноперекопськ,"парк Кипарисний 2-й, буд. 2 кв. 8, Горлівка, 43151",004 702-91-73,alla52@example.org
Прокопович,Демʼян,Романович,Чоловік,1969-06-18,Кінорежисер,село Устилуг,"вулиця Історія Футболу, буд. 99, Чигирин, 69184",+380 66 410 45 33,bohdan84@example.com
Ватаманюк,Віра,Тимофіївна,Жінка,1957-06-16,Шериф,село Остер,"проспект Цементний, буд. 20 кв. 918, Южне, 27555",825-13-93,ihor04@example.net
Верес,Тарас,Володимирович,Чоловік,2006-10-21,Режисер,селище Новояворівськ,"набережна Восьмого березня, буд. 13 кв. 67, Золотоноша, 61570",+380 34 585-32-48,iefrem54@example.com
Гаєвська,Наталія,Олександрівна,Жінка,1972-06-17,Бібліограф,село Оріхів,"площа Сашка Хорошенка, буд. 9 кв. 000, Острог, 58796",008 683-40-21,jbazavluchenko@example.org
Дзюба,Юстина,Богданівна,Жінка,1971-06-22,Різноробочий,селище Білогірськ,"вулиця Хаджибейський 3-й, буд. 103, Володимир-Волинський, 67537",+380 09 944-69-93,pbezborodko@example.net
Рубець,Алла,Романівна,Жінка,1959-04-08,Адвокат,хутір Середина-Буда,"площа Петра Болбочана, буд. 774, Суми, 59286",084 34 50,artymklavdiia@example.org
Скиба,Златослава,Олегівна,Жінка,1968-05-18,Фізик,селище Зимогір'я,"набережна Радіальний, буд. 3, Сокологірськ, 50351",045 372 78 01,anastasiiatiahnybok@example.com
Вовк,Богуслава,Ігорівна,Жінка,2007-11-01,Професор,хутір Макіївка,"провулок Лінія 33-тя, буд. 31, Судак, 06503",002 968-14-59,ozinchuk@example.com
Михайличенко,Марʼяна,Максимівна,Жінка,1980-11-11,Гицель,селище Лубни,"площа Заможна, буд. 5, Моспине, 10004",+380 72 410-37-06,chervonenkoborys@example.net
Лубенець,Одарка,Миколаївна,Жінка,1971-05-08,Драматург,місто Дебальцеве,"набережна Вапняна, буд. 0, Тячів, 35786",540 48 95,leonid47@example.org
Коваленко,Василина,Тимофіївна,Жінка,1992-04-15,Філолог,місто Кропивницький,"набережна Єврейська, буд. 429, Лутугине, 92642",091 447 45 95,vdubenko@example.com
Вишиваний,Назар,Тимофійович,Чоловік,1945-04-03,Археолог,селище Гола Пристань,"площа Сінна, буд. 49 кв. 060, Носівка, 45012",+380 (75) 632-45-39,myroslav71@example.net
Петренко,Лілія,Федорівна,Жінка,1999-04-02,Футболіст,селище Іршава,"парк Дев’ята, буд. 74, Фастів, 57979",+380 58 069 50 66,orysiavdovychenko@example.com
Орлик,Юхим,Сергійович,Чоловік,1997-08-28,Дерун,селище Чигирин,"набережна Травневий 1-й, буд. 1, Радехів, 35014",092-81-41,shvaikamyroslav@example.com
Луценко,Орест,Володимирович,Чоловік,1946-02-13,Електромонтер,селище Покров,"площа Манежний, буд. 661, Українка, 89940",+380 23 279-60-86,smakohon@example.net
Філіпенко,Азар,Ігорович,Чоловік,1941-04-12,Фрілансер,селище Шпола,"вулиця Театральний, буд. 37 кв. 5, Трускавець, 62221",479 16 55,khudiakmykyta@example.org
Цимбалюк,Давид,Іванович,Чоловік,1964-09-17,Паралегал,село Отаманівка,"проспект Олександра Тимошенка, буд. 90, Яремче, 22307",099 085-25-33,vartymyshyna@example.org
Ярема,Василина,Павлівна,Жінка,1966-09-10,Композитор,місто Павлоград,"набережна Прирейкова, буд. 1 кв. 2, Скадовськ, 82236",587-54-34,sviatoslavdavymuka@example.org
Запорожець,Опанас,Андрійович,Чоловік,1996-05-27,Гірничий інженер,селище Городок,"сквер Незалежності, буд. 1 кв. 854, Пирятин, 89281",+380 74 267-03-99,zoriandubenko@example.net
Савенко,Макар,Петрович,Чоловік,1974-09-22,Музикант,хутір Марганець,"узвіз Вузький, буд. 4, Козятин, 04849",032 468 46 62,ievhen25@example.org
Гайдай,Устим,Петрович,Чоловік,2001-12-24,Візажист,село Красноперекопськ,"провулок Обільна, буд. 941, Зіньків, 82690",921-82-46,alina67@example.org
Ващук,Лукʼян,Романович,Чоловік,1939-08-06,Музикант,селище Рені,"узвіз Топольського, буд. 1 кв. 28, Христинівка, 83749",924-71-03,volodymyrtiahnybok@example.org
